,2day_kahu,solan,kahu,arki,kasauli,kandaghat,90day_kahu,4day_kahu
0,12.0,0.0,0.5,0.0,0.0,0.125,5.972222222222222,3.0
1,19.0,27.6,19.0,53.2,22.5,0.0,3.252222222222222,6.05
2,20.2,0.0,1.0,0.25,0.0,0.0,1.2933333333333332,5.05
3,51.5,12.6,36.0,3.2,8.0,24.8,4.554444444444444,13.375
4,0.0,3.0,0.0,3.575,6.0,5.3,8.53111111111111,0.0
5,14.5,21.2,14.5,8.2,29.5,7.8,6.272222222222222,12.25
6,0.0,0.0,0.0,15.6,54.5,0.0,7.076666666666668,0.0
7,17.5,19.4,17.5,47.6,12.5,52.2,2.488888888888889,4.5
8,0.8,5.2,0.8,0.0,32.5,26.8,5.201111111111112,0.8
9,27.1,0.0,2.3,3.5,0.0,0.0,7.115,10.0625
10,0.0,0.0,0.0,0.0,30.0,3.0,7.076666666666668,1.875
11,19.8,0.0,0.0,0.0,9.0,0.0,5.602222222222222,5.175
12,7.3,8.8,7.3,5.0,17.5,0.8,8.998888888888889,2.575
13,68.2,4.7,38.0,21.0,18.5,14.3,3.727777777777778,24.65
14,37.7,22.2,23.2,0.0,1.0,38.1,2.1733333333333333,9.425
15,0.0,0.0,0.0,0.0,0.0,1.3,7.873333333333334,0.0
16,32.0,5.0,12.0,64.2,4.5,41.9,2.204444444444444,8.0
17,17.4,0.0,0.0,0.0,0.0,0.0,3.326666666666666,4.6
18,43.5,0.0,29.5,0.0,5.5,0.0,8.427777777777777,10.925
19,26.5,0.0,0.0,13.6,1.0,0.0,1.5711111111111111,6.625
20,7.5,0.0,0.5,1.5,0.0,0.0,8.447222222222223,3.775
21,7.3,0.0,0.0,0.0,0.0,0.0,8.998888888888889,1.825
22,37.5,0.0,15.5,10.2,0.5,1.0,4.437777777777778,12.125000000000004
23,17.4,0.0,17.4,4.35,0.0,0.0,1.051111111111111,6.975
24,15.8,1.2,4.0,38.4,40.0,20.9,3.81,3.95
25,74.5,25.0,74.5,15.2,55.5,43.2,7.935,25.4
26,4.5,1.0,4.5,0.0,17.0,0.0,6.42,1.125
27,2.3,1.2,0.8,2.0,0.0,7.3,7.731666666666667,2.625
28,0.0,0.0,0.0,10.0,12.0,1.3,5.411111111111111,0.0
29,8.9,0.0,1.4,0.0,40.0,0.0,6.006666666666667,23.475
30,26.7,0.0,25.8,0.0,20.0,15.2,3.262222222222222,27.6
31,15.4,27.4,15.4,9.1,14.0,36.4,1.5877777777777775,3.85
32,4.0,28.6,3.5,7.6,29.5,9.2,6.652222222222223,1.875
33,0.3,0.0,0.0,0.0,0.0,0.0,7.102222222222223,0.875
34,9.0,17.6,2.8,6.9750000000000005,5.0,2.5,8.995555555555557,3.3
35,17.5,0.0,3.0,0.0,4.0,0.0,6.305555555555555,7.375
36,9.8,0.0,0.0,0.0,0.0,0.0,5.21,14.05
37,1.6,4.2,0.8,2.375,4.5,0.0,8.989999999999998,5.3
38,5.551115123125783e-17,2.0,0.0,0.0,0.5,29.0,1.4166666666666667,1.3877787807814457e-17
39,4.8,7.2,4.8,0.0,0.0,0.0,7.935555555555556,1.2
40,0.5,11.6,0.0,0.0,0.0,7.2,1.6588888888888886,4.25
41,8.0,0.0,8.0,0.0,0.0,0.0,1.6277777777777778,2.2
42,31.8,0.0,29.8,8.575,4.5,0.0,8.884444444444444,7.95
43,5.2,1.8,5.2,0.0,0.0,3.8,3.041111111111111,12.425
44,5.0,13.4,5.0,9.0,0.0,12.8,0.8666666666666667,1.25
45,14.2,20.0,14.0,48.0,10.0,16.2,8.18,4.175
46,4.0,0.0,2.5,0.0,2.5,1.25,2.171111111111111,1.375
47,11.0,0.0,0.0,0.0,0.0,0.0,9.23,4.924999999999999
48,20.5,0.0,14.0,3.4,0.0,0.0,3.96,9.925
49,4.5,0.0,0.0,0.0,0.0,0.0,1.0922222222222224,8.875
50,4.0,1.1,1.6,5.0,0.0,6.3,7.979444444444444,19.625
51,66.0,0.0,0.0,0.0,8.0,1.4,4.85,18.5
52,0.2,1.0,0.0,0.0,0.0,0.0,1.6611111111111112,2.6
53,1.6,10.8,0.0,15.5,15.0,16.0,8.279444444444444,1.075
54,7.5,0.0,7.5,0.0,57.6,4.8,7.258888888888889,1.875
55,0.0,6.5,0.0,0.0,7.2,17.4,5.602222222222222,4.95
56,37.0,2.4,24.8,19.5,5.0,4.2,7.089444444444445,26.2375
57,17.6,39.7,15.8,0.0,21.5,45.2,5.417777777777778,5.025
58,0.4,0.0,0.0,0.0,0.5,0.125,4.026666666666666,4.15
59,17.4,0.6,17.4,0.0,12.5,7.625,3.333333333333333,17.85
60,3.9,3.0,1.2,2.4,6.5,9.2,5.427777777777778,3.15
61,0.0,9.4,0.0,0.0,24.5,7.6,3.868888888888889,12.2
62,1.0,10.4,0.0,1.0,3.0,11.3,5.241111111111111,0.25
63,63.0,0.6,0.5,0.0,0.0,0.0,2.7777777777777777,37.125
64,0.0,0.0,0.0,8.0,0.0,0.0,3.7233333333333336,0.0
65,0.0,0.0,0.0,0.0,0.0,17.6,5.457777777777777,0.0
66,0.0,0.0,0.0,20.0,0.0,0.0,9.264444444444443,4.625
67,18.6,55.2,0.0,10.0,17.5,13.2,2.9277777777777785,23.7
68,2.6,3.8,1.4,0.6,7.5,0.0,5.443333333333333,3.5
69,40.0,0.0,1.0,0.0,0.0,0.0,7.79,13.125
70,4.7,0.0,0.0,0.0,0.0,0.0,9.158888888888889,1.175
71,1.8,0.0,0.0,0.0,1.5,0.0,5.481111111111111,0.575
72,13.2,12.2,13.2,31.8,4.5,8.6,2.3200000000000003,12.725
73,0.9,1.2,0.0,0.0,0.0,14.0,5.382222222222222,1.35
74,10.5,13.8,10.5,10.7,11.0,7.5,0.8577777777777779,2.625
75,0.0,0.0,0.0,0.0,9.5,0.0,8.615555555555556,5.875
76,4.0,10.6,0.0,0.0,2.0,20.1,5.505555555555556,1.45
77,9.5,6.6,9.5,0.3,7.0,16.0,0.6811111111111111,2.375
